Date,Open,High,Low,Close,Volume,Adj Close
2014-08-04,192.87,194.30,192.05,193.89,91083700,193.89
2014-07-28,197.76,198.45,191.57,192.50,125181700,192.50
2014-07-21,197.09,199.06,196.43,197.72,66774000,197.72
2014-07-14,197.61,198.26,195.43,197.71,103712400,197.71
2014-07-07,197.82,197.98,195.06,196.61,81019700,196.61
2014-06-30,195.70,198.29,195.53,198.20,66449100,198.20
2014-06-23,195.99,196.50,194.13,195.82,81018800,195.82
2014-06-16,193.89,196.60,193.66,195.94,92785800,195.94
2014-06-09,195.35,196.05,193.11,194.13,75877400,193.20
2014-06-02,192.95,195.43,191.97,195.38,71206200,194.45
2014-05-27,191.06,192.80,190.95,192.68,69856500,191.76
2014-05-19,187.69,190.48,187.07,190.35,77443500,189.44
2014-05-12,188.80,190.42,186.48,188.05,95635000,187.15
2014-05-05,187.14,189.05,186.01,187.96,89026800,187.06
2014-04-28,187.05,189.14,184.96,188.06,102373600,187.16
2014-04-21,186.44,188.40,185.87,186.29,83307600,185.40
2014-04-14,182.93,186.91,181.44,186.39,124981700,185.50
2014-04-07,185.95,187.17,181.31,181.51,138785400,180.64
2014-03-31,186.67,189.70,185.52,186.40,102905600,185.51
2014-03-24,186.84,187.34,183.90,185.49,117826200,184.61
2014-03-17,185.59,189.02,185.47,186.20,131360000,185.31
2014-03-10,187.97,188.71,184.44,184.66,117541300,182.97
2014-03-03,184.65,188.96,183.75,188.26,124140200,186.54
2014-02-24,184.28,187.15,184.20,186.29,114909700,184.59
2014-02-18,184.18,184.95,182.60,183.89,107524900,182.21
2014-02-10,179.70,184.36,179.21,184.02,100358200,182.34
2014-02-03,177.97,179.87,173.71,179.68,177548900,178.04
2014-01-27,179.06,179.81,176.88,178.18,164303900,176.55
2014-01-21,184.70,184.77,178.83,178.89,122766500,177.25
2014-01-13,183.67,184.94,181.34,183.64,106714600,181.96
2014-01-06,183.49,184.22,182.08,184.14,96692900,182.46
2013-12-30,183.87,184.69,182.48,182.89,86001100,181.22
2013-12-23,182.45,184.18,182.07,183.85,64036400,182.17
2013-12-16,178.95,181.99,177.32,181.56,150921000,179.90
2013-12-09,181.47,181.67,177.76,178.11,101012800,175.53
2013-12-02,181.09,181.43,178.35,180.94,114796800,178.32
2013-11-25,181.13,181.75,180.37,181.00,70287700,178.38
2013-11-18,180.35,180.83,177.98,180.81,99546600,178.19
2013-11-11,177.12,180.12,176.09,180.05,91340200,177.44
2013-11-04,176.69,177.64,174.76,177.29,110512600,174.72
2013-10-28,175.89,177.51,175.22,176.21,117796400,173.66
2013-10-21,174.45,176.00,173.96,175.95,100045200,173.40
2013-10-14,169.21,174.51,169.08,174.39,139394400,171.86
2013-10-07,167.42,170.32,164.53,170.26,148855600,167.79
2013-09-30,167.48,169.50,166.84,168.89,131604600,166.44
2013-09-23,170.49,170.65,168.47,168.91,100908900,166.46
2013-09-16,171.16,173.60,170.04,170.72,134353400,168.25
2013-09-09,166.45,169.56,166.45,169.33,88777800,166.07
2013-09-03,165.23,166.98,163.70,166.04,115652800,162.84
2013-08-26,166.79,167.30,163.05,163.65,122112700,160.50
2013-08-19,165.64,166.83,164.19,166.62,107524500,163.41
2013-08-12,168.46,169.90,165.50,165.83,102605700,162.63
